route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible
820870,20161611multiint-0000001,47335569-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700660,2
820870,20161611multiint-0000001,47335605-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700692,2
820740,20161611multiint-0000001,47335382-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,07400188,2
820740,20161611multiint-0000001,47335376-20161611multiint-0000001,"Val-Bélair (Nord)",,0,,07400156,2
820870,20161611multiint-0000001,47335591-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820870,20161611multiint-0000001,47335642-20161611multiint-0000001,"Loretteville (Nord)",,0,,08700693,2
820870,20161611multiint-0000001,47335593-20161611multiint-0000001,"Sainte-Foy Centre (Sud)",,1,,08700661,2
820160,20161611multiint-0000001,47335089-20161611multiint-0000001,"Sillery / U. Laval / Sainte-Foy Centre (Est)",,0,,01600262,2
820160,20161611multiint-0000001,47335093-20161611multiint-0000001,"U. Laval / Sillery / Sainte-Foy Centre (Ouest)",,1,,01600263,2
820770,20161611multiint-0000001,47334855-20161611multiint-0000001,"Terminus Les Saules (Sud)",,1,,07700191,2
820860,20161611multiint-0000001,47335554-20161611multiint-0000001,"Place J.-Cartier / colline Parlementaire (Sud)",,1,,08600198,2
820820,20161611multiint-0000001,47334734-20161611multiint-0000001,"Lac-Saint-Charles (Nord)",,0,,08200297,2
820640,20161611multiint-0000001,47335323-20161611multiint-0000001,"Lebourgneuf (Nord)",,0,,06400129,2
820640,20161611multiint-0000001,47335308-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,06400128,2
820860,20161611multiint-0000001,47335564-20161611multiint-0000001,"Terminus Les Saules (Nord)",,0,,08600199,2
820860,20161611multiint-0000001,47335556-20161611multiint-0000001,"Place J.-Cartier / colline Parlementaire (Sud)",,1,,08600198,2
820840,20161611multiint-0000001,47372982-20161611multiint-0000001,"Neufchâtel (Nord)",,0,,08400199,2
820140,20161611multiint-0000001,47335017-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
820140,20161611multiint-0000001,47335034-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01400100,2
820140,20161611multiint-0000001,47335018-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
820140,20161611multiint-0000001,47335035-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01400100,2
820140,20161611multiint-0000001,47335019-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
820140,20161611multiint-0000001,47335036-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01400100,2
820140,20161611multiint-0000001,47335020-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
820140,20161611multiint-0000001,47335037-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01400100,2
820140,20161611multiint-0000001,47335021-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
820140,20161611multiint-0000001,47335038-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01400100,2
820140,20161611multiint-0000001,47335022-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
820140,20161611multiint-0000001,47335039-20161611multiint-0000001,"Cap-Rouge (Ouest)",,1,,01400100,2
820140,20161611multiint-0000001,47335023-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Est)",,0,,01400099,2
820250,20161611multiint-0000001,47334561-20161611multiint-0000001,"Place D'Youville / Gare du Palais (Est)",,0,,02500339,2
820820,20161611multiint-0000001,47334722-20161611multiint-0000001,"Lac-Saint-Charles (Nord)",,0,,08200296,2
820820,20161611multiint-0000001,47334721-20161611multiint-0000001,"Place Jacques-Cartier (Sud)",,1,,08200294,2
820070,20161611multiint-0000001,47333326-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
820070,20161611multiint-0000001,47333252-20161611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,00700634,2
820070,20161611multiint-0000001,47333333-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
820070,20161611multiint-0000001,47333258-20161611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,00700634,2
820070,20161611multiint-0000001,47333339-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
820070,20161611multiint-0000001,47333264-20161611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,00700634,2
820070,20161611multiint-0000001,47333345-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
820070,20161611multiint-0000001,47333270-20161611multiint-0000001,"Place D'Youville / Vieux-Québec (Est)",,0,,00700634,2
820070,20161611multiint-0000001,47333351-20161611multiint-0000001,"Pointe-de-Sainte-Foy (Ouest)",,1,,00700581,2
820550,20161611multiint-0000001,47335277-20161611multiint-0000001,"Terminus Beauport (Sud)",,1,,05500341,2
820540,20161611multiint-0000001,47372955-20161611multiint-0000001,"Sainte-Thérèse-de-Lisieux (Nord)",,0,,05400457,2
820440,20161611multiint-0000001,47335122-20161611multiint-0000001,"Terminus Beauport (Sud)",,1,,04400106,2
820340,20161611multiint-0000001,47333797-20161611multiint-0000001,"Terminus du Zoo (Sud)",,1,,03400090,2
